m2_gross,m2_net,oda_sayisi,bina_yasi,bulundugu_kat,kat_sayisi,banyo_sayisi,balkon,asansor,esyali_mi,krediye_uygun,otopark,fiyat,ilce_Arnavutköy,ilce_Ataşehir,ilce_Avcılar,ilce_Bahçelievler,ilce_Bakırköy,ilce_Bayrampaşa,ilce_Bağcılar,ilce_Başakşehir,ilce_Beykoz,ilce_Beylikdüzü,ilce_Beyoğlu,ilce_Beşiktaş,ilce_Büyükçekmece,ilce_Esenler,ilce_Esenyurt,ilce_Eyüpsultan,ilce_Fatih,ilce_Gaziosmanpaşa,ilce_Güngören,ilce_Kadıköy,ilce_Kartal,ilce_Kağıthane,ilce_Küçükçekmece,ilce_Maltepe,ilce_Pendik,ilce_Sancaktepe,ilce_Sarıyer,ilce_Silivri,ilce_Sultanbeyli,ilce_Sultangazi,ilce_Tuzla,ilce_Zeytinburnu,ilce_Çatalca,ilce_Çekmeköy,ilce_Ümraniye,ilce_Üsküdar,ilce_Şile,ilce_Şişli,kullanim_durumu_Property owner,kullanim_durumu_Tenant,isitma_tipi_Klima/Elektrikli,isitma_tipi_Kombi,isitma_tipi_Merkezi Sistem,isitma_tipi_Soba/Yok,isitma_tipi_Yerden Isıtma
250,189.0,6.0,0.0,6.0,6.0,3.0,1.0,1,0.0,1.0,1,2350000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
135,112.0,4.0,7.5,4.0,6.0,1.0,1.0,0,0.0,1.0,0,155000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
90,85.0,3.0,0.0,3.0,4.0,1.0,1.0,1,0.0,1.0,0,755000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90,90.0,3.0,18.0,-3.0,5.0,1.0,1.0,0,0.0,1.0,0,315000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
60,50.0,2.0,7.5,0.0,5.0,1.0,0.0,0,0.0,1.0,0,190000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
155,135.0,4.0,18.0,-4.0,5.0,1.0,1.0,0,0.0,1.0,0,325000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110,90.0,3.0,7.5,0.0,4.0,1.0,0.0,1,0.0,1.0,1,315000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
116,95.0,4.0,13.0,2.0,11.0,1.0,0.0,0,0.0,0.0,0,620000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
140,120.0,5.0,1.0,3.0,3.0,2.0,1.0,0,0.0,1.0,0,575000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
135,83.0,4.0,0.0,14.0,14.0,2.0,1.0,0,0.0,1.0,0,790000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
140,120.0,5.0,1.0,5.0,5.0,2.0,1.0,0,0.0,1.0,0,415000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120,100.0,4.0,0.0,4.0,6.0,1.0,1.0,1,0.0,1.0,1,490000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
130,110.0,4.0,4.0,2.0,5.0,1.0,1.0,0,0.0,1.0,0,280000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90,70.0,3.0,1.0,0.0,5.0,1.0,1.0,1,0.0,1.0,1,270000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
110,90.0,3.0,28.0,0.0,3.0,1.0,1.0,0,0.0,1.0,0,750000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
195,180.0,5.0,7.5,4.0,5.0,2.0,1.0,0,0.0,1.0,0,550000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
135,120.0,4.0,0.0,2.0,4.0,2.0,1.0,0,0.0,1.0,0,330000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
160,150.0,5.0,0.0,4.0,4.0,1.0,1.0,1,0.0,1.0,0,450000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
95,90.0,3.0,28.0,3.0,5.0,1.0,1.0,0,0.0,1.0,0,385000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
220,180.0,6.0,4.0,8.0,8.0,3.0,1.0,1,0.0,1.0,1,1250000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
65,50.0,2.0,28.0,1.0,4.0,1.0,0.0,0,0.0,0.0,0,590000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
265,240.0,6.0,0.0,4.0,4.0,4.0,1.0,0,0.0,1.0,0,875000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120,110.0,4.0,0.0,2.0,3.0,2.0,1.0,1,0.0,1.0,0,590000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
340,320.0,5.0,13.0,20.0,24.0,3.0,0.0,1,0.0,1.0,0,5850000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
130,120.0,4.0,3.0,-1.0,6.0,2.0,1.0,1,0.0,1.0,0,475000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
83,78.0,3.0,0.0,-2.0,6.0,1.0,0.0,0,0.0,1.0,0,380000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
95,75.0,3.0,0.0,7.0,9.0,1.0,1.0,1,0.0,1.0,1,329500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,55.0,2.0,35.0,2.0,5.0,1.0,1.0,0,0.0,0.0,0,250000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
125,105.0,4.0,7.5,3.0,10.0,2.0,1.0,1,0.0,1.0,1,545000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
135,120.0,4.0,0.0,1.0,3.0,2.0,1.0,1,0.0,1.0,0,820000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
105,95.0,3.0,4.0,0.0,5.0,1.0,1.0,0,0.0,1.0,0,175000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100,88.0,3.0,0.0,6.0,8.0,1.0,1.0,1,0.0,1.0,0,325000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110,75.0,3.0,0.0,2.0,10.0,1.0,0.0,1,0.0,1.0,1,379000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
130,110.0,3.0,18.0,-4.0,4.0,1.0,1.0,0,0.0,0.0,0,215000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
250,220.0,5.0,7.5,5.0,5.0,2.0,1.0,0,0.0,1.0,0,590000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
120,110.0,4.0,13.0,2.0,3.0,1.0,1.0,0,0.0,1.0,0,339000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
125,110.0,4.0,13.0,0.0,5.0,2.0,1.0,0,0.0,0.0,0,600000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
82,65.0,2.0,18.0,2.0,4.0,1.0,1.0,0,1.0,1.0,0,460000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
120,105.0,4.0,28.0,5.0,6.0,1.0,1.0,0,0.0,1.0,0,520000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
88,75.0,3.0,1.0,1.0,4.0,1.0,1.0,1,0.0,1.0,1,228950.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
120,100.0,4.0,0.0,1.0,5.0,2.0,1.0,0,0.0,1.0,0,750000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
95,85.0,3.0,4.0,0.0,5.0,2.0,0.0,1,0.0,1.0,0,272000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
115,100.0,4.0,18.0,0.0,5.0,1.0,1.0,0,0.0,0.0,0,208000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
104,96.0,3.0,0.0,3.0,4.0,2.0,1.0,1,0.0,1.0,0,175000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85,85.0,3.0,0.0,2.0,3.0,1.0,1.0,1,0.0,1.0,0,280000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
260,220.0,5.0,7.5,5.0,5.0,2.0,1.0,1,0.0,1.0,0,7500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
80,70.0,3.0,23.0,0.0,5.0,1.0,0.0,0,1.0,1.0,0,490000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
140,130.0,4.0,0.0,3.0,6.0,2.0,1.0,0,0.0,1.0,0,419000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
125,110.0,4.0,0.0,5.0,1.0,2.0,1.0,1,0.0,0.0,0,535000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
200,180.0,5.0,0.0,5.0,5.0,2.0,1.0,1,0.0,1.0,0,510000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
215,180.0,6.0,0.0,9.0,9.0,3.0,1.0,1,0.0,1.0,0,540000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
120,100.0,4.0,7.5,14.0,14.0,1.0,0.0,1,0.0,1.0,0,575000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
70,65.0,3.0,0.0,-3.0,6.0,1.0,1.0,0,0.0,0.0,0,255000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
85,75.0,3.0,1.0,1.0,4.0,1.0,1.0,1,0.0,1.0,1,425000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
326,290.0,6.0,4.0,4.0,4.0,4.0,1.0,1,0.0,1.0,0,7000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
140,130.0,4.0,0.0,1.0,4.0,1.0,1.0,0,0.0,1.0,0,520000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110,100.0,4.0,13.0,0.0,6.0,1.0,0.0,0,0.0,1.0,0,228000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
171,117.0,4.0,1.0,20.0,22.0,2.0,1.0,0,0.0,1.0,0,950000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92,80.0,2.0,0.0,0.0,15.0,1.0,1.0,0,0.0,1.0,0,1100000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
180,180.0,4.0,2.0,5.0,14.0,2.0,1.0,1,0.0,1.0,1,2015000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
110,100.0,3.0,0.0,1.0,4.0,1.0,1.0,1,0.0,1.0,0,275000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,50.0,2.0,35.0,4.0,5.0,1.0,1.0,0,0.0,1.0,0,550000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
173,160.0,4.0,18.0,4.0,10.0,2.0,1.0,1,0.0,1.0,0,380000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
90,78.0,3.0,0.0,2.0,17.0,1.0,1.0,1,0.0,1.0,1,484000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,55.0,2.0,0.0,2.0,4.0,1.0,0.0,1,0.0,1.0,0,310000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
185,150.0,4.0,23.0,7.0,7.0,2.0,1.0,1,0.0,1.0,0,1260000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
250,210.0,6.0,0.0,11.0,11.0,3.0,1.0,1,0.0,1.0,1,2650000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90,90.0,3.0,0.0,1.0,3.0,1.0,0.0,1,0.0,1.0,0,210000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
150,120.0,3.0,0.0,27.0,35.0,2.0,1.0,1,0.0,0.0,1,2350000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
120,100.0,3.0,0.0,0.0,5.0,1.0,1.0,1,0.0,1.0,0,385000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
65,60.0,2.0,0.0,0.0,6.0,1.0,1.0,1,0.0,1.0,1,260000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,85.0,3.0,0.0,1.0,6.0,1.0,1.0,1,0.0,1.0,0,220000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
340,300.0,6.0,13.0,0.0,4.0,3.0,1.0,1,0.0,1.0,0,9700000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
95,75.0,3.0,35.0,3.0,3.0,1.0,1.0,0,0.0,1.0,0,795000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55,40.0,2.0,0.0,7.0,7.0,1.0,0.0,1,0.0,1.0,1,215000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,85.0,3.0,23.0,-1.0,4.0,1.0,1.0,0,0.0,1.0,0,365000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
130,130.0,4.0,28.0,5.0,5.0,2.0,1.0,0,0.0,0.0,0,350000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
155,130.0,4.0,0.0,2.0,4.0,2.0,1.0,1,1.0,1.0,1,730000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90,75.0,3.0,3.0,2.0,4.0,1.0,0.0,1,0.0,1.0,0,290000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
165,150.0,5.0,1.0,4.0,5.0,2.0,1.0,0,0.0,1.0,0,870000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
160,145.0,4.0,3.0,0.0,4.0,2.0,1.0,1,0.0,1.0,0,285000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
